Feature,Fitness,Contribution,VotingWeights,NormFit,Size
NIQ,893.569630197735,56.22675912480918,1.0,1.0,55
NIQ,901.4632778582709,0.0,0.0,1.0,51
NIQ,907.1005645035239,0.0,0.0,1.0,53
NIQ,909.3579393383225,54.014319924981464,1.0,1.0,53
NIQ,920.5287238451965,114.95206750452417,1.0,1.0,55
NIQ,922.5668879109435,794.826621883065,1.0,1.0,53
NIQ,922.8823253049486,85.37378740810709,1.0,1.0,51
NIQ,929.4845939406168,73.55505524673572,1.0,1.0,51
NIQ,933.0307901192273,64.49967996021314,1.0,1.0,59
NIQ,936.3876404065522,144.19281857892383,1.0,1.0,59
WIQ,893.569630197735,636.2511282135974,1.0,1.0,55
WIQ,901.4632778582709,1121.7268320408093,1.0,1.0,51
WIQ,907.1005645035239,104.66596469143042,1.0,1.0,53
WIQ,909.3579393383225,39.2677119737391,1.0,1.0,53
WIQ,920.5287238451965,19.08768215204509,1.0,1.0,55
WIQ,922.5668879109435,38.83628081466668,1.0,1.0,53
WIQ,922.8823253049486,148.36645358793794,1.0,1.0,51
WIQ,929.4845939406168,194.886824598334,1.0,1.0,51
WIQ,933.0307901192273,-7.9764431065659664,0.0,1.0,59
WIQ,936.3876404065522,291.11886524378497,1.0,1.0,59
MWT,893.569630197735,799.3635425492848,1.0,1.0,55
MWT,901.4632778582709,153.82168583051862,1.0,1.0,51
MWT,907.1005645035239,0.0,0.0,1.0,53
MWT,909.3579393383225,7.820012270949519,1.0,1.0,53
MWT,920.5287238451965,0.0,0.0,1.0,55
MWT,922.5668879109435,0.0,0.0,1.0,53
MWT,922.8823253049486,0.0,0.0,1.0,51
MWT,929.4845939406168,0.0,0.0,1.0,51
MWT,933.0307901192273,0.0,0.0,1.0,59
MWT,936.3876404065522,94.29132083116019,1.0,1.0,59
PT,893.569630197735,2561.6776432804245,1.0,1.0,55
PT,901.4632778582709,0.0,0.0,1.0,51
PT,907.1005645035239,321.60828757402305,1.0,1.0,53
PT,909.3579393383225,2256.4623414635425,1.0,1.0,53
PT,920.5287238451965,771.6363198432109,1.0,1.0,55
PT,922.5668879109435,708.9952420492718,1.0,1.0,53
PT,922.8823253049486,869.9912359337377,1.0,1.0,51
PT,929.4845939406168,261.8592330211068,1.0,1.0,51
PT,933.0307901192273,1395.0051629978607,1.0,1.0,59
PT,936.3876404065522,275.3526651722532,1.0,1.0,59
NPT,893.569630197735,47.48528314869873,1.0,1.0,55
NPT,901.4632778582709,0.0,0.0,1.0,51
NPT,907.1005645035239,167.44297917369659,1.0,1.0,53
NPT,909.3579393383225,0.0,0.0,1.0,53
NPT,920.5287238451965,0.0,0.0,1.0,55
NPT,922.5668879109435,44.19172726771285,1.0,1.0,53
NPT,922.8823253049486,74.44596837382414,1.0,1.0,51
NPT,929.4845939406168,82.92801508437697,1.0,1.0,51
NPT,933.0307901192273,27.92623786639797,1.0,1.0,59
NPT,936.3876404065522,-0.8387893719773274,0.0,1.0,59
OWT,893.569630197735,200.20063548844337,1.0,1.0,55
OWT,901.4632778582709,145.93527363055273,1.0,1.0,51
OWT,907.1005645035239,321.60828757402305,1.0,1.0,53
OWT,909.3579393383225,44.57986633475775,1.0,1.0,53
OWT,920.5287238451965,124.56473525640467,1.0,1.0,55
OWT,922.5668879109435,101.03988486775233,1.0,1.0,53
OWT,922.8823253049486,-9.478066643081547,0.0,1.0,51
OWT,929.4845939406168,406.20322314662917,1.0,1.0,51
OWT,933.0307901192273,0.0,0.0,1.0,59
OWT,936.3876404065522,0.0,0.0,1.0,59
WKR,893.569630197735,202.83702424291005,1.0,1.0,55
WKR,901.4632778582709,156.13225145387696,1.0,1.0,51
WKR,907.1005645035239,297.84017624439,1.0,1.0,53
WKR,909.3579393383225,89.55504847498742,1.0,1.0,53
WKR,920.5287238451965,203.0243556535479,1.0,1.0,55
WKR,922.5668879109435,220.01883827476559,1.0,1.0,53
WKR,922.8823253049486,121.71735955342047,1.0,1.0,51
WKR,929.4845939406168,121.16061068992713,1.0,1.0,51
WKR,933.0307901192273,127.99215412194008,1.0,1.0,59
WKR,936.3876404065522,180.50541457853797,1.0,1.0,59
NOR,893.569630197735,123.75910307074082,1.0,1.0,55
NOR,901.4632778582709,0.0,0.0,1.0,51
NOR,907.1005645035239,61.61800525450508,1.0,1.0,53
NOR,909.3579393383225,33.72544070267395,1.0,1.0,53
NOR,920.5287238451965,0.0,0.0,1.0,55
NOR,922.5668879109435,0.0,0.0,1.0,53
NOR,922.8823253049486,0.0,0.0,1.0,51
NOR,929.4845939406168,73.4537834551129,1.0,1.0,51
NOR,933.0307901192273,0.0,0.0,1.0,59
NOR,936.3876404065522,0.0,0.0,1.0,59
W,893.569630197735,0.0,0.0,1.0,55
W,901.4632778582709,0.0,0.0,1.0,51
W,907.1005645035239,0.0,0.0,1.0,53
W,909.3579393383225,0.0,0.0,1.0,53
W,920.5287238451965,12.880409122519268,1.0,1.0,55
W,922.5668879109435,-14.372816424240227,0.0,1.0,53
W,922.8823253049486,32.55073173079654,1.0,1.0,51
W,929.4845939406168,0.0,0.0,1.0,51
W,933.0307901192273,30.43593008647349,1.0,1.0,59
W,936.3876404065522,71.14017042327305,1.0,1.0,59
TIS,893.569630197735,2083.6945787477252,1.0,1.0,55
TIS,901.4632778582709,2349.3474138537294,1.0,1.0,51
TIS,907.1005645035239,2730.397392807321,1.0,1.0,53
TIS,909.3579393383225,3325.8938460096224,1.0,1.0,53
TIS,920.5287238451965,2196.76274466033,1.0,1.0,55
TIS,922.5668879109435,1958.56395871111,1.0,1.0,53
TIS,922.8823253049486,2511.004207995911,1.0,1.0,51
TIS,929.4845939406168,1025.1527021376478,1.0,1.0,51
TIS,933.0307901192273,1659.659223441783,1.0,1.0,59
TIS,936.3876404065522,1253.7390481358216,1.0,1.0,59
